,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
168,NIFTY,2024-10-17 12:03:00,24854,24852,24857,24854,4825,2024-10-31 14:30:00,I
169,NIFTY,2024-10-17 12:04:00,24854,24850,24855,24854,3525,2024-10-31 14:30:00,I
170,NIFTY,2024-10-17 12:05:00,24852,24849,24857,24852,3625,2024-10-31 14:30:00,I
171,NIFTY,2024-10-17 12:06:00,24852,24852,24864,24860,2300,2024-10-31 14:30:00,I
172,NIFTY,2024-10-17 12:07:00,24863,24860,24866,24864,8700,2024-10-31 14:30:00,I
173,NIFTY,2024-10-17 12:08:00,24864,24864,24869,24869,4250,2024-10-31 14:30:00,I
174,NIFTY,2024-10-17 12:09:00,24868,24865,24869,24868,4825,2024-10-31 14:30:00,I
175,NIFTY,2024-10-17 12:10:00,24868,24866,24871,24867,6250,2024-10-31 14:30:00,I
176,NIFTY,2024-10-17 12:11:00,24867,24865,24869,24865,2675,2024-10-31 14:30:00,I
177,NIFTY,2024-10-17 12:12:00,24865,24859,24865,24861,7050,2024-10-31 14:30:00,I
178,NIFTY,2024-10-17 12:13:00,24860,24858,24865,24859,2575,2024-10-31 14:30:00,I
179,NIFTY,2024-10-17 12:14:00,24860,24855,24860,24858,2800,2024-10-31 14:30:00,I
180,NIFTY,2024-10-17 12:15:00,24859,24858,24861,24859,1550,2024-10-31 14:30:00,I
181,NIFTY,2024-10-17 12:16:00,24859,24857,24863,24861,3375,2024-10-31 14:30:00,I
182,NIFTY,2024-10-17 12:17:00,24861,24860,24865,24865,1900,2024-10-31 14:30:00,I
183,NIFTY,2024-10-17 12:18:00,24865,24864,24873,24871,7225,2024-10-31 14:30:00,I
184,NIFTY,2024-10-17 12:19:00,24870,24870,24873,24871,5250,2024-10-31 14:30:00,I
185,NIFTY,2024-10-17 12:20:00,24871,24863,24871,24865,10050,2024-10-31 14:30:00,I
186,NIFTY,2024-10-17 12:21:00,24865,24859,24865,24860,7550,2024-10-31 14:30:00,I
187,NIFTY,2024-10-17 12:22:00,24859,24859,24862,24862,3975,2024-10-31 14:30:00,I
188,NIFTY,2024-10-17 12:23:00,24860,24857,24861,24860,3225,2024-10-31 14:30:00,I
189,NIFTY,2024-10-17 12:24:00,24860,24857,24865,24865,5625,2024-10-31 14:30:00,I
190,NIFTY,2024-10-17 12:25:00,24865,24861,24868,24865,6425,2024-10-31 14:30:00,I
191,NIFTY,2024-10-17 12:26:00,24865,24855,24865,24855,6025,2024-10-31 14:30:00,I
192,NIFTY,2024-10-17 12:27:00,24855,24855,24864,24860,4550,2024-10-31 14:30:00,I
193,NIFTY,2024-10-17 12:28:00,24864,24861,24866,24865,2500,2024-10-31 14:30:00,I
194,NIFTY,2024-10-17 12:29:00,24865,24860,24865,24863,3725,2024-10-31 14:30:00,I
195,NIFTY,2024-10-17 12:30:00,24864,24863,24868,24868,6275,2024-10-31 14:30:00,I
196,NIFTY,2024-10-17 12:31:00,24868,24868,24870,24868,9100,2024-10-31 14:30:00,I
197,NIFTY,2024-10-17 12:32:00,24868,24866,24870,24869,10550,2024-10-31 14:30:00,I
198,NIFTY,2024-10-17 12:33:00,24866,24866,24869,24866,4850,2024-10-31 14:30:00,I
199,NIFTY,2024-10-17 12:34:00,24866,24862,24868,24864,8725,2024-10-31 14:30:00,I
200,NIFTY,2024-10-17 12:35:00,24865,24861,24867,24862,8100,2024-10-31 14:30:00,I
201,NIFTY,2024-10-17 12:36:00,24862,24860,24864,24862,4325,2024-10-31 14:30:00,I
202,NIFTY,2024-10-17 12:37:00,24860,24860,24865,24865,2275,2024-10-31 14:30:00,I
